Date,Average Bike Count
November 2022,49462
December 2022,57094
January 2023,51372
February 2023,57731
March 2023,67485
April 2023,130453
May 2023,128018
June 2023,128290
July 2023,139812
August 2023,139107
September 2023,145633
October 2023,124042
November 2023,122185
December 2023,140862
January 2024,133892
February 2024,132467
March 2024,131103
April 2024,126905
May 2024,124233
June 2024,126016
July 2024,124107
August 2024,128295
September 2024,126285
October 2024,113447
November 2024,122459
December 2024,123133
January 2025,120425
February 2025,124739
March 2025,118975
April 2025,116816
May 2025,113357
June 2025,126461
July 2025,148574
August 2025,150023
September 2025,143015
October 2025,120250