Date,Percent of Transit Trips
December 2018,72.5
January 2019,70.9
February 2019,71.1
March 2019,70.6
April 2019,71.1
May 2019,74
June 2019,72.8
July 2019,69.7
August 2019,70.2
September 2019,71.7
October 2019,69.8
November 2019,70.4
December 2019,69.7
January 2020,69.4
February 2020,75.5
March 2020,78.7
April 2020,76.4
May 2020,74
June 2020,74.2
July 2020,70.7
August 2020,70.2
September 2020,70.8
October 2020,70.1
November 2020,73.4
December 2020,70
January 2021,73.5
February 2021,71.6
March 2021,70.7
April 2021,70.5
May 2021,73.3
June 2021,74.6
July 2021,75.4
August 2021,76.9
September 2021,74.9
October 2021,74.9
November 2021,74.8
December 2021,70
January 2022,70
February 2022,71
March 2022,71
April 2022,73
May 2022,74.4
June 2022,74
July 2022,72.2
August 2022,74
September 2022,74.6
October 2022,74.6
November 2022,72.1
December 2022,66.9
January 2023,64.7
February 2023,72
March 2023,83.6
April 2023,71.6
May 2023,74
June 2023,72.8
July 2023,67.2
August 2023,67.5
September 2023,69.5
October 2023,68.6
November 2023,68.6
December 2023,70.4
January 2024,70
February 2024,72
March 2024,82.4
April 2024,74.7
May 2024,71.6
June 2024,72.9
July 2024,70
August 2024,69.4
September 2024,72
October 2024,70.7
November 2024,69.4