Date,Percent of Registered Electric Vehicles
December 2005,0.01
January 2006,0.01
February 2006,0.01
March 2006,0.01
April 2006,0.01
May 2006,0.01
June 2006,0.01
July 2006,0.01
August 2006,0.01
September 2006,0.01
October 2006,0.01
November 2006,0.01
December 2006,0.01
January 2007,0.02
February 2007,0.02
March 2007,0.02
April 2007,0.02
May 2007,0.02
June 2007,0.02
July 2007,0.02
August 2007,0.02
September 2007,0.02
October 2007,0.02
November 2007,0.02
December 2007,0.02
January 2008,0.02
February 2008,0.02
March 2008,0.02
April 2008,0.02
May 2008,0.02
June 2008,0.02
July 2008,0.02
August 2008,0.02
September 2008,0.02
October 2008,0.02
November 2008,0.02
December 2008,0.02
January 2009,0.02
February 2009,0.02
March 2009,0.02
April 2009,0.02
May 2009,0.02
June 2009,0.02
July 2009,0.02
August 2009,0.02
September 2009,0.02
October 2009,0.02
November 2009,0.02
December 2009,0.02
January 2010,0.02
February 2010,0.02
March 2010,0.02
April 2010,0.02
May 2010,0.02
June 2010,0.02
July 2010,0.02
August 2010,0.02
September 2010,0.02
October 2010,0.02
November 2010,0.02
December 2010,0.82
January 2011,1.07
February 2011,1.08
March 2011,1.1
April 2011,1.11
May 2011,1.12
June 2011,1.12
July 2011,1.14
August 2011,1.16
September 2011,1.16
October 2011,1.18
November 2011,1.21
December 2011,1.24
January 2012,1.26
February 2012,1.28
March 2012,1.31
April 2012,1.34
May 2012,1.36
June 2012,1.38
July 2012,1.4
August 2012,1.42
September 2012,1.45
October 2012,1.48
November 2012,1.5
December 2012,1.55
January 2013,1.57
February 2013,1.59
March 2013,1.61
April 2013,1.64
May 2013,1.66
June 2013,1.7
July 2013,1.78
August 2013,1.81
September 2013,1.84
October 2013,1.87
November 2013,1.88
December 2013,1.89
January 2014,1.92
February 2014,1.93
March 2014,1.94
April 2014,1.96
May 2014,2
June 2014,2.03
July 2014,2.05
August 2014,2.12
September 2014,2.17
October 2014,2.22
November 2014,2.26
December 2014,2.3
January 2015,2.36
February 2015,2.38
March 2015,2.42
April 2015,2.47
May 2015,2.48
June 2015,2.52
July 2015,2.55
August 2015,2.58
September 2015,2.6
October 2015,2.61
November 2015,2.63
December 2015,2.66
January 2016,2.69
February 2016,2.7
March 2016,2.71
April 2016,2.73
May 2016,2.78
June 2016,2.79
July 2016,2.82
August 2016,2.84
September 2016,2.87
October 2016,2.91
November 2016,2.93
December 2016,2.95
January 2017,2.98
February 2017,3.02
March 2017,3.04
April 2017,3.06
May 2017,3.09
June 2017,3.1
July 2017,3.13
August 2017,3.15
September 2017,3.17
October 2017,3.19
November 2017,3.21
December 2017,3.21
January 2018,3.23
February 2018,3.23
March 2018,3.24
April 2018,3.26
May 2018,3.27
June 2018,3.29
July 2018,3.3
August 2018,3.31
September 2018,3.33
October 2018,3.37
November 2018,3.38
December 2018,3.39
January 2019,3.42
February 2019,3.45
March 2019,3.47
April 2019,3.49
May 2019,3.5
June 2019,3.52
July 2019,3.54
August 2019,3.55
September 2019,3.37
October 2019,3.4
November 2019,3.42
December 2019,3.6
January 2020,3.6
February 2020,3.64
March 2020,3.65
April 2020,3.68
May 2020,3.7
June 2020,3.71
July 2020,3.71
August 2020,3.74
September 2020,3.77
October 2020,3.81
November 2020,3.83
December 2020,3.87
January 2021,3.91
February 2021,3.92
March 2021,3.97
April 2021,4.05
May 2021,4.08
June 2021,4.12
July 2021,4.21
August 2021,4.25
September 2021,4.31
October 2021,4.37
November 2021,4.41
December 2021,4.46
January 2022,4.53
February 2022,4.58
March 2022,4.63
April 2022,4.7
May 2022,4.74
June 2022,4.78
July 2022,4.84
August 2022,4.87
September 2022,4.94
October 2022,5
November 2022,5.06
December 2022,5.13
January 2023,5.21
February 2023,5.3
March 2023,5.4
April 2023,5.47
May 2023,5.53
June 2023,5.6
July 2023,5.66
August 2023,5.74
September 2023,5.81
October 2023,5.9
November 2023,5.97
December 2023,6.06
January 2024,6.22
February 2024,6.29
March 2024,6.38
April 2024,6.47
May 2024,6.53
June 2024,6.6
July 2024,6.69
August 2024,6.76
September 2024,6.87
October 2024,6.94
November 2024,7